id,juris,city,name,plandate
2101,1,Albany,RHD,
2102,1,Albany,R-1,
2103,1,Albany,R-2,
2104,1,Albany,R-3,
2105,1,Albany,R.4,
2106,1,Albany,SPC,
2107,1,Albany,SC,
2108,1,Albany,CMX,
2109,1,Albany,PF,
2110,1,Albany,WF,
2111,1,Albany,U,
2201,2,Berkeley,R-1,
2202,2,Berkeley,R-1H,
2203,2,Berkeley,R-1A,
2204,2,Berkeley,ES-R,
2205,2,Berkeley,R-2,
2206,2,Berkeley,R-2H,
2207,2,Berkeley,R-2A,
2208,2,Berkeley,R-2AH,
2209,2,Berkeley,R-3,
2210,2,Berkeley,R-3H,
2211,2,Berkeley,R-4,
2212,2,Berkeley,R-4H,
2214,2,Berkeley,R-5H,
2215,2,Berkeley,C-1,
2216,2,Berkeley,C-N,
2217,2,Berkeley,C-N(H),
2218,2,Berkeley,C-E,
2219,2,Berkeley,C-NS,
2220,2,Berkeley,C-NS(H),
2221,2,Berkeley,C-SA,
2222,2,Berkeley,C-T,
2223,2,Berkeley,C-SO,
2224,2,Berkeley,C-W,
2226,2,Berkeley,M,
2227,2,Berkeley,MM,
2228,2,Berkeley,MULI,
2229,2,Berkeley,MUR,
2230,2,Berkeley,SP,
2231,2,Berkeley,U,
2232,2,Berkeley,X,
2301,3,Dublin,RRA,
2302,3,Dublin,ER,
2303,3,Dublin,LDSF,
2304,3,Dublin,LDR,
2305,3,Dublin,SFR,
2306,3,Dublin,MDR,
2307,3,Dublin,EMHDR,
2308,3,Dublin,MHDR,
2309,3,Dublin,HDR,
2310,3,Dublin,GC,
2311,3,Dublin,RO,
2312,3,Dublin,ROA,
2313,3,Dublin,NC,
2314,3,Dublin,GCCO,
2315,3,Dublin,CO,
2316,3,Dublin,IP,
2317,3,Dublin,BPI,
2318,3,Dublin,BPIOS,
2319,3,Dublin,MU,
2320,3,Dublin,MHRRO,
2321,3,Dublin,RP,
2322,3,Dublin,P,
2323,3,Dublin,PPR,
2324,3,Dublin,CP,
2325,3,Dublin,NP,
2326,3,Dublin,NS,
2327,3,Dublin,OS,
2328,3,Dublin,SC,
2329,3,Dublin,PL,
2330,3,Dublin,PSP,
2331,3,Dublin,ES,
2334,3,Dublin,MS,
2401,4,Emeryville,RHD-3-100-55,
2402,4,Emeryville,RHD-4-135-55,
2403,4,Emeryville,MHR-1.6-60-55,
2404,4,Emeryville,MDR-0.5-35-30,
2405,4,Emeryville,MDR-0.5-35-55,
2406,4,Emeryville,MDR-1.6-60-30,
2407,4,Emeryville,MDR-1.6-60-55,
2408,4,Emeryville,MUR-0.5-35-30,
2409,4,Emeryville,MUR-0.5-35-55,
2410,4,Emeryville,MUR-1.6-60-30,
2411,4,Emeryville,MUR-1.6-60-55,
2412,4,Emeryville,MUR-3-100-100,
2413,4,Emeryville,MUR-3-100-55,
2414,4,Emeryville,MUR-3-100-75,
2415,4,Emeryville,MUR-4-135-100,
2416,4,Emeryville,MUR-4-135-55,
2417,4,Emeryville,MUR-4-135-x,
2418,4,Emeryville,MUR-6-135-x,
2419,4,Emeryville,MUR-6-170-55,
2420,4,Emeryville,MUR-6-170-x,
2421,4,Emeryville,MU-0.5-x-30,
2422,4,Emeryville,MU-1.6-x-55,
2423,4,Emeryville,MU-3-x-55,
2424,4,Emeryville,MU-4-x-100,
2425,4,Emeryville,MU-4-x-55,
2426,4,Emeryville,MU-4-x-x,
2427,4,Emeryville,CO-0.5-x-55,
